target,tic,P_days,σP_days,T0_BTJD,σT0_days,"rho(T0,P)",N_mids,rchi2,depth_ppm,duration_hr
Target A,119584412,16.02749976133826,0.0002642418271886217,1908.0462830394736,0.009010525929947825,-0.7493794174279076,3,1.0247790189280408,97.79069934845452,6.527999999999999
Target B,37749396,13.475823810255767,0.0003496579970650028,1392.3060059576471,0.04332957803947977,-0.9663309099891989,4,12.035734745705444,709.8352909218341,4.4239999999999995
Target C,311183180,9.348490772612324,0.00025750584379124797,2149.6334543370012,0.0016745323834298444,-0.08341024104920593,5,4.92421357756044,774.6256219050007,5.724
