rank,TIC_ID_norm,toi,Tmag,Teff_K,Rstar_Rsun,contam_ratio,crowding,rank_score,justification
7,4646810,461.01,8.8723,4884.0,0.74413,4.16099865e-05,0.999958391744819,0.9766872823013346,R*~0.74 R☉; contam~0.00; crowding~1.00; Tmag~8.9
8,77175217,4328.01,7.7679,4709.0,0.739835,0.0002032757,0.9997967656126124,0.97652279880349,R*~0.74 R☉; contam~0.00; crowding~1.00; Tmag~7.8
9,31374837,431.01,8.1705,4891.0,0.726632,0.0008505397,0.9991501831030086,0.9756571241898352,R*~0.73 R☉; contam~0.00; crowding~1.00; Tmag~8.2
10,271478281,2194.01,7.4259,4669.0,0.690927,0.0017109405,0.9982919818174832,0.9754517939436564,R*~0.69 R☉; contam~0.00; crowding~1.00; Tmag~7.4
11,121490076,6726.01,8.9988,4760.0,0.757341,0.000515577151,0.9994846885318188,0.9748633351425816,R*~0.76 R☉; contam~0.00; crowding~1.00; Tmag~9.0
12,27491137,2076.01,8.3745,5163.0,0.772148,0.0002954656,0.9997046216741342,0.974621238081133,R*~0.77 R☉; contam~0.00; crowding~1.00; Tmag~8.4
