target_tic,label,method,rank,period_d,power,duration_d,t0
119584412,S22,BLS,1,10.64018064056918,70.08881720876234,0.10625,1903.5434023622993
119584412,S22,BLS,2,12.393899162595186,64.04264966816943,0.125,1900.0486106956325
119584412,S22,BLS,3,7.094427374659215,52.82679584945432,0.1,1903.5402773622993
