target,toi,tic,P_days,T0_BTJD,duration_days_used,N_in_odd,N_in_even,N_in_sec,mean_depth_odd_ppm,mean_depth_even_ppm,delta_odd_minus_even_ppm,pvalue_odd_vs_even,ci_odd_even_ppm,mean_secondary_depth_ppm,pvalue_secondary_vs_zero,ci_secondary_ppm
Target A — TIC 119584412,TOI 1801.01,119584412,16.02749976133826,1908.0462830394736,0.27199999999999996,7387,7486,3518,414.0035095214844,439.32366943359375,-25.320159912109375,0.23245,"(-41.35352979613327, 41.13219161581012)",-546.7310791015625,0.0,"(-38.08404787558603, 37.58013161401152)"
Target B — TIC 37749396,TOI 260.01,37749396,13.475823810255767,1392.3060059576471,0.1843333333333333,14243,16554,22718,-59.02769088745117,12.740556716918945,-71.76824760437012,0.0,"(-25.76546893034282, 24.894366390791017)",20.13424301147461,0.00235,"(-12.974713202569719, 12.914336056797085)"
Target C — TIC 311183180,TOI 550.02,311183180,9.348490772612324,2149.6334543370012,0.2385,2965,7459,10769,2210.49609375,47.35976791381836,2163.1363258361816,0.0,"(-134.98402321552297, 136.53223023984845)",-191.3820037841797,0.0,"(-64.19473333896306, 67.08662388064126)"
