tic,toi,sector,source,n_raw,n_flat,rms_raw_ppm,rms_flat_ppm,cdpp1h_raw_ppm,cdpp1h_flat_ppm,window_days,polyorder,use_transit_mask,mask_width_factor,quality_bitmask
119584412,TOI 1801.01,22,PDCSAP,16102,16102,1327.6767925016222,1131.2734742750163,739.9850374894374,263.62875844341664,1.0,2,False,1.7,175
119584412,TOI 1801.01,49,PDCSAP,13272,13272,1396.6813785430365,1058.1386432832983,937.6860394412834,227.38309742854685,1.0,2,False,1.7,175
119584412,TOI 1801.01,-1,STITCHED,29374,29374,1359.3999896187622,1098.8730191318539,835.7449934743547,248.30115340439778,1.0,2,False,1.7,175
