rank,TIC_ID_norm,toi,Tmag,Teff_K,Rstar_Rsun,contam_ratio,crowding,rank_score,justification
1,119584412,1801.01,9.85623,3815.0,0.545591,0.000276353385,0.9997237229650936,0.986449035410484,R*~0.55 R☉; contam~0.00; crowding~1.00; Tmag~9.9
2,37749396,260.01,8.4991,4049.0,0.618173,0.0002444534,0.9997556063428604,0.9827509751722108,R*~0.62 R☉; contam~0.00; crowding~1.00; Tmag~8.5
3,311183180,550.02,9.1073,5055.34,0.693406,3.827464e-05,0.999961726824892,0.979333153821974,R*~0.69 R☉; contam~0.00; crowding~1.00; Tmag~9.1
4,62483237,139.01,9.3636,4405.0,0.700727,0.000145170634,0.999854850437454,0.9786959757263888,R*~0.70 R☉; contam~0.00; crowding~1.00; Tmag~9.4
5,16884216,2023.01,8.5049,4958.0,0.695992,0.000409036438,0.9995911308043992,0.9783092737660676,R*~0.70 R☉; contam~0.00; crowding~1.00; Tmag~8.5
6,22903436,7032.01,8.1532,4526.0,0.722286,0.000263600872,0.999736468595108,0.9772907143660664,R*~0.72 R☉; contam~0.00; crowding~1.00; Tmag~8.2
