toi,tic,ra_deg,dec_deg,Tmag,Teff_K,sectors_initial,sectors_current,n_current,new_sectors,n_new
6075.01,424388628,281.039970014929,75.9909349650465,9.4287,,,14;15;16;17;18;19;20;21;23;24;25;26;40;41;47;48;49;50;51;52;53;54;55;56;57;58;59;60;73;74;75;76;77;78;79;80;81;82;83;84;85;86,42,14;15;16;17;18;19;20;21;23;24;25;26;40;41;47;48;49;50;51;52;53;54;55;56;57;58;59;60;73;74;75;76;77;78;79;80;81;82;83;84;85;86,42
1563.01,249945230,38.8094533877317,48.2741863783731,9.4397,,,18;58;85,3,18;58;85,3
454.01,153077621,49.6602340896956,-42.6423563078223,9.441,,,3;4;30;31,4,3;4;30;31,4
4310.01,303317324,351.903691918406,-25.5080853104303,9.4961,,,2;29;69;96,4,2;29;69;96,4
1030.01,464296022,155.831687930156,-57.5903451121075,9.5706,,,9;10;36;37;63;64;90,7,9;10;36;37;63;64;90,7
3485.01,394672497,201.749651860337,-73.5942820342184,9.6181,,,11;12;38;39;65,5,11;12;38;39;65,5
913.01,407126408,234.573403866439,-80.8037855311033,9.6181,,,12;13;39;65;66;93,6,12;13;39;65;66;93,6
2482.01,117938087,71.5184326590382,-15.3433605544139,9.6254,,,5;32,2,5;32,2
458.01,64071894,39.1357842745299,-22.2451138584831,9.6438,,,4;30;31,3,4;30;31,3
4590.01,154923406,203.20077114242,84.5148717562498,9.6446,,,14;19;20;21;26;40;47;52;53;59;60;73;74;79;86,15,14;19;20;21;26;40;47;52;53;59;60;73;74;79;86,15
776.01,306996324,178.576633271141,-37.5527322695786,9.73597,,,10;37;63;90,4,10;37;63;90,4
871.01,219344917,74.7381650057409,-50.6268912602156,9.7607,,,4;5;6;30;31;32,6,4;5;6;30;31;32,6
1823.01,142381532,196.220356075357,63.7537909676205,9.7722,,,14;15;21;22;41;48;49;75;76,9,14;15;21;22;41;48;49;75;76,9
213.01,234345288,38.8865965937357,-71.6241615715871,9.7806,,,1;2;13;27;28;29;67;69;94;95;96,11,1;2;13;27;28;29;67;69;94;95;96,11
5554.01,91287873,104.744002819835,28.716266006832,9.83733,,,44;45;71;72,4,44;45;71;72,4
687.01,74534430,137.671343850792,-45.0975156469103,9.8445,,,8;9;35;36;62;63;89,7,8;9;35;36;62;63;89,7
4424.01,326386495,268.244775721117,-48.5623402019298,9.8496,,,13;39;66;93,4,13;39;66;93,4
1801.01,119584412,175.576558603723,23.0268551086495,9.85623,,,22;49,2,22;49,2
2105.01,156199502,181.07387935533,83.4376532752374,9.8565,,,14;19;20;21;26;40;41;53;59;60;73;74,12,14;19;20;21;26;40;41;53;59;60;73;74,12
1958.01,356747847,175.336019500518,-78.1630195164497,9.9055,,,11;12;38;39;64;65;66;93,8,11;12;38;39;64;65;66;93,8
712.02,150151262,92.9361370865504,-65.8259721132099,9.9059,,,1;2;3;4;5;6;7;9;10;11;12;13;27;28;29;30;31;32;33;34;35;36;37;38;39;61;62;63;64;65;66;67;68;69;87;88;89;90;93;94;95;96,42,1;2;3;4;5;6;7;9;10;11;12;13;27;28;29;30;31;32;33;34;35;36;37;38;39;61;62;63;64;65;66;67;68;69;87;88;89;90;93;94;95;96,42
198.01,12421862,2.26815992112666,-27.1221332878693,9.92801,,,2;29;69;96,4,2;29;69;96,4
1759.01,408636441,326.853292916282,62.7538613856672,9.92838,,,16;17;24;56;57;58;76;77;78;83;84;85,12,16;17;24;56;57;58;76;77;78;83;84;85,12
5076.01,303432813,50.5096556480399,17.2399670241529,9.9909,,,42;43;44;70;71,5,42;43;44;70;71,5
