target,tic,P_days,sigma_P_days,T0_BTJD,sigma_T0_days,cov_T0P,N_mids,chi2,rchi2
Target A,119584412,16.02749976133826,0.0002642418271886217,1908.0462830394736,0.009010525929947825,-1.7842407958072036e-06,3,1.0247790189280408,1.0247790189280408
Target B,37749396,13.475823810255767,0.0003496579970650028,1392.3060059576471,0.04332957803947977,-1.4640428795810947e-05,4,24.071469491410888,12.035734745705444
Target C,311183180,9.348490772612324,0.00025750584379124797,2149.6334543370012,0.0016745323834298444,-3.596665228047561e-08,5,14.772640732681321,4.92421357756044
