Target,TIC,lnZ_PL,lnZ_FP,FPP,NearbyFPP,Ms,Rs,Teff,Z,Tmag,plx
A,119584412,-inf,-inf,,,0.541272,0.545591,3815.0,0.0,9.85623,32.5678
B,37749396,-inf,-inf,,,0.63,0.618173,4049.0,0.0,8.4991,49.5123
C,311183180,-inf,-inf,,,1.0,0.693406,5055.34,0.0,9.1073,2.0
