epoch,tmid_btjd,tmid_err_d
0,1392.78579127,7.98763721e-03
1,1406.20448097,2.26457053e-01
80,2470.57147211,1.25350477e-03
135,3211.55178758,1.52237024e-02
136,3224.85261080,9.47221603e-01
